lemma,Count,part_of_speech,hyponyms
achillea,8,noun,sneezeweed yarrow;yarrow
aching,6,noun,backache;earache;headache;stomachache;toothache
aching,6,verb,catch;kill;prick;twinge|die|act up;bite;burn;hunger;itch;shoot;thirst;throb
achromatic color,16,noun,black;gray;white
achromatic colour,17,noun,black;gray;white
achromaticity,13,noun,achromia
achromatism,11,noun,achromia
achromycin,10,noun,demeclocycline hydrochloride;minocycline
acid,4,noun,alkapton;aminobenzoic acid;aqua regia;arsenic acid;barbituric acid;boric acid;boric acid;bromic acid;carbamic acid;carbolic acid;carbonic acid;carboxylic acid;cerotic acid;chloric acid;chlorous acid;chromic acid;citric acid;cyanamide;cyanic acid;cyanuric acid;dibasic acid;dichromic acid;ferricyanic acid;ferrocyanic acid;fluoroboric acid;fluosilicic acid;formic acid;fulminic acid;fumaric acid;gallic acid;gamma acid;glyceric acid;glycolic acid;hydriodic acid;hydrobromic acid;hydrochloric acid;hydrocyanic acid;hydrofluoric acid;hydrogen chloride;hydroiodic acid;hydroxy acid;hypochlorous acid;hyponitrous acid;iodic acid;isocyanic acid;itaconic acid;lansoprazole;lysergic acid;maleic acid;manganic acid;methacrylic acid;monobasic acid;nitric acid;nitrous acid;oxalacetic acid;oxalic acid;oxyacid;pantothenic acid;para aminobenzoic acid;pectic acid;perchloric acid;permanganic acid;phthalic acid;picric acid;pyruvic acid;selenic acid;silicic acid;sulfanilic acid;sulfonic acid;tetrabasic acid;thiocyanic acid;titanic acid;toluic acid;tribasic acid;triphosphoric acid;undecylenic acid;uric acid;vitriol;xanthic acid
acid dye,8,noun,metallized dye
acid halide,11,noun,acetyl chloride
acid-base indicator,19,noun,bromophenol blue;bromothymol blue;congo red;litmus;methyl orange;phenolphthalein
acidity,7,noun,acerbity;vinegariness|hyperacidity
acidosis,8,noun,ketoacidosis;metabolic acidosis;respiratory acidosis;starvation acidosis
ack-ack,7,noun,bofors gun
ack-ack gun,11,noun,bofors gun
acknowledge,11,verb,attorn;avow;concede;confess;confess;make no bones about;sustain;write off|mention|appreciate
acknowledged,12,verb,attorn;avow;concede;confess;confess;make no bones about;sustain;write off|mention|appreciate
acknowledgement,15,noun,admission;aloha;apology;condolence;credits;declination;farewell;greeting;handshake;mea culpa;receipt;thanks
acknowledgment,14,noun,cross-reference;photo credit|admission;aloha;apology;condolence;credits;declination;farewell;greeting;handshake;mea culpa;receipt;thanks
acme,4,noun,crown;roof peak
acne,4,noun,acne rosacea;acne vulgaris;pimple
acolyte,7,noun,altar boy;thurifer
aconite,7,noun,monkshood;wolfsbane
acoustic buoy,13,noun,bell buoy;whistle buoy
