lemma,Count,part_of_speech,hyponyms
high-low-jack,13,noun,cinch;pitch;seven-up
high-spiritedness,17,noun,mettlesomeness;vivacity
hightail it,11,verb,flee;skedaddle
highwater,9,noun,direct tide;neap tide;springtide
highway,7,noun,arterial road;beltway;divided highway;expressway;highroad;interstate
highwayman,10,noun,footpad
hijack,6,noun,carjacking
hijack,6,verb,carjack;skyjack
hijacker,8,noun,footpad
hijacking,9,noun,piracy
hijacking,9,verb,carjack;skyjack
hike,4,noun,trudge
hike,4,verb,backpack;tramp
hiker,5,noun,backpacker
hiking,6,noun,trudge
hiking,6,verb,backpack;tramp
hill,4,noun,butte;foothill;knoll;tor|barbette;burial mound;embankment;snowbank
hillock,7,noun,anthill;kopje;molehill
hillside,8,noun,brae
hilt,4,noun,basket hilt
himalayish,10,noun,newari;tibetan
himantopus stilt,16,noun,black-necked stilt;black-winged stilt;kaki;white-headed stilt
hind,4,noun,rock hind
hind limb,9,noun,hind leg
hindbrain,9,noun,metencephalon
hinder,6,verb,hobble;inhibit;interfere;obstruct;set back;stunt|bottleneck;check;filibuster;hang;stonewall
hinderance,10,noun,albatross;bind;diriment impediment;drag;obstacle;straitjacket|clog;speed bump|antagonism;complication;deterrence;frustration;obstruction;prevention
hindering,9,verb,hobble;inhibit;interfere;obstruct;set back;stunt|bottleneck;check;filibuster;hang;stonewall
hindi,5,noun,hindustani
hindlimb,8,noun,hind leg
hindoo,6,noun,brahman;kshatriya;rajput;shudra;vaisya|chela;hare krishna;sadhu;sannyasi;shaktist;shivaist;swami;vaishnava
hindooism,9,noun,brahmanism|darsana;krishnaism;mimamsa;shaktism;shivaism;vaishnavism;vedanta;vedism;yoga
hindquarters,12,noun,haunch
hindrance,9,noun,albatross;bind;diriment impediment;drag;obstacle;straitjacket|clog;speed bump|antagonism;complication;deterrence;frustration;obstruction;prevention
hindu,5,noun,brahman;kshatriya;rajput;shudra;vaisya|chela;hare krishna;sadhu;sannyasi;shaktist;shivaist;swami;vaishnava
hindu calendar month,20,noun,aghan;asarh;asin;baisakh;bhadon;chait;jeth;kartik;magh;phagun;pus;sawan
hindu deity,11,noun,aditya;ahura;asvins;avatar;dharma;garuda;marut;ribhus;soma;vajra
hinduism,8,noun,brahmanism|darsana;krishnaism;mimamsa;shaktism;shivaism;vaishnavism;vedanta;vedism;yoga
hindustani,10,noun,brahman;kshatriya;rajput;shudra;vaisya
hinge,5,noun,butt hinge;strap hinge;tee hinge
hinge joint,11,noun,elbow;interphalangeal joint;knee
hinge on,8,verb,repose on
hinge upon,10,verb,repose on
hint,4,noun,snuff|spark
hint,4,verb,allude;clue in;intimate
hip boot,8,noun,waders
hippoboscid,11,noun,horse tick;sheep ked
hire,4,verb,engage;featherbed;fill;rat;ship;sign;subcontract
hired,5,verb,engage;featherbed;fill;rat;ship;sign;subcontract
hired hand,10,noun,farmhand;herder;ranch hand;stableman
hired help,10,noun,kitchen help
hired man,9,noun,farmhand;herder;ranch hand;stableman
hirer,5,noun,guvnor;old man
hirudinean,10,noun,horseleech;medicinal leech
hispanic,8,noun,criollo
hispanic american,17,noun,criollo
histamine blocker,17,noun,cimetidine;famotidine;ranitidine
histiocytosis,13,noun,hand-schuller-christian disease
historian,9,noun,annalist;art historian;chronicler
historic period,15,noun,antiquity;golden age;jazz age;reign;turn of the century
historiographer,15,noun,annalist;art historian;chronicler
history,7,noun,ancient history;annals;biography;case history;etymology;historical document;recital
histrion,8,noun,actress;barnstormer;character actor;comedian;ham;heavy;ingenue;leading man;mime;plant;reenactor;scene-stealer;screen actor;star;supernumerary;tragedian;understudy;upstager;walk-on
histrionics,11,noun,matinee
hit,3,noun,base hit|bunt;contusion;crash;fly;grounder;header;plunk;scorcher|blockbuster;sleeper
hit,3,verb,backhand;bounce;bunker;bunt;cannon;clap;connect;croquet;double;dribble;drive;drive;fly;follow through;foul;ground;ground;ground out;heel;hole;hook;kill;kill;loft;pitch;play;pop;pull;putt;racket;shank;shell;shoot;single;slice;smash;snap;snick;toe;toe;top;triple;undercut;volley;whang|bottom;bottom out;broadside;bump;collide;connect;glance;ping;rear-end;run into;spang;spat;stub;thud|bat;bat;bat;bean;belt;box;brain;buffet;clap;club;conk;cosh;crack;cudgel;cut;get;hook;kick;lam into;pop;pummel;punch;sandbag;slam;slug;smack;smash;smite;sock;swat;swipe;thump;whack|access;bottom out;catch up;culminate;find;get through;ground;make;scale;summit;top;top out|grass;gun down;kneecap|ace;convert;convert;convert;eagle;equalize;have;hole up;homer;kick;par;shoot;walk|chop;retaliate;slice;stroke|burke;execute|smash|break even;max out
hit squad,9,noun,death squad;sparrow unit
hit the books,13,verb,cram;memorize
hit the hay,11,verb,bed down
hit the sack,12,verb,bed down
hitch,5,noun,countercheck;logjam|blackwall hitch;cat's-paw;rolling hitch;sheet bend;timber hitch|clog;speed bump
hitch,5,verb,snag
hitchings,9,verb,snag
hitter,6,noun,bunter;designated hitter;pinch hitter;switch-hitter;whiffer|slapper;walloper
hitting,7,noun,bunt;contusion;crash;fly;grounder;header;plunk;scorcher
hitting,7,verb,backhand;bounce;bunker;bunt;cannon;clap;connect;croquet;double;dribble;drive;drive;fly;follow through;foul;ground;ground;ground out;heel;hole;hook;kill;kill;loft;pitch;play;pop;pull;putt;racket;shank;shell;shoot;single;slice;smash;snap;snick;toe;toe;top;triple;undercut;volley;whang|bottom;bottom out;broadside;bump;collide;connect;glance;ping;rear-end;run into;spang;spat;stub;thud|bat;bat;bat;bean;belt;box;brain;buffet;clap;club;conk;cosh;crack;cudgel;cut;get;hook;kick;lam into;pop;pummel;punch;sandbag;slam;slug;smack;smash;smite;sock;swat;swipe;thump;whack|access;bottom out;catch up;culminate;find;get through;ground;make;scale;summit;top;top out|grass;gun down;kneecap|ace;convert;convert;convert;eagle;equalize;have;hole up;homer;kick;par;shoot;walk|chop;retaliate;slice;stroke|burke;execute|smash|break even;max out
hive,4,noun,skep
hive away,9,verb,bin;computerize;hive;roll up;victual
hives,5,noun,skep
hoard,5,verb,bale;catch;collect;corral;fund;fund;lump;run up;scrape
hoarded wealth,14,noun,fortune;king's ransom;treasure trove;valuable
hoarder,7,noun,magpie;miser;niggard;penny pincher
hoarding,8,verb,bale;catch;collect;corral;fund;fund;lump;run up;scrape
hoary pea,9,noun,bastard indigo;catgut
hoax,4,noun,goldbrick
hob,3,noun,leprechaun;sandman
hobby,5,noun,speleology
hobo,4,noun,dosser
hock,4,noun,liebfraumilch;riesling
hockey,6,noun,shinny
hockey player,13,noun,center;goalkeeper;wing
hoe,3,noun,scuffle
hog,3,noun,porker
hogwash,7,noun,bullshit
hoi polloi,10,noun,audience;following;laity
hoist,5,noun,block and tackle;headgear;wheel and axle
hoist,5,verb,trice
hoka,4,noun,achomawi;akwa'ala;atsugewi;chimariko;cochimi;cocopa;diegueno;esselen;halchidhoma;havasupai;kamia;karok;kiliwa;maricopa;mohave;pomo;shasta;walapai;yahi;yana;yavapai;yuma|chimariko;esselen;kulanapan;quoratean;shastan;yanan;yuman
hokan,5,noun,chimariko;esselen;kulanapan;quoratean;shastan;yanan;yuman|achomawi;akwa'ala;atsugewi;chimariko;cochimi;cocopa;diegueno;esselen;halchidhoma;havasupai;kamia;karok;kiliwa;maricopa;mohave;pomo;shasta;walapai;yahi;yana;yavapai;yuma
hokum,5,noun,absurdity;amphigory;balderdash;baloney;buzzword;cobblers;crock;fa la;gibberish;incoherence;jabberwocky;mummery;palaver;rigmarole;shmegegge;stuff
hold,4,noun,chokehold;embrace;wrestling hold|sense|extension;moratorium;retardation|ax handle;broomstick;crop;haft;hilt;hoe handle;knob;mop handle;panhandle;pommel;pommel;rake handle;stock;stock
hold,4,verb,conserve;continue;distance;hold over;housekeep;preserve;pressurize|clinch;cling to;cradle;cradle;grasp;lock;trap|bear;carry;keep;keep;keep;keep;monopolize;stock;sustain;wield|enchain;fetter;ground;impound;pen up;pinion;pound;tie down|hold down|block;brace;bracket;buoy;carry;chock;pole;prop up;scaffold;truss;underpin|enclose;retain|house;seat;sleep|behave;piggyback;poise;sling;stoop|keep open|article;indenture;pledge;tie down|weather|bate;catch;countercheck;damp;deny;mortify;restrict;restrict;suppress;thermostat;train|admit;bastardize;beatify;call;cancel;canonize;certify;formalize;pronounce;superannuate|arrange;concede;conclude;reconcile;see eye to eye;settle;subscribe
hold back,9,verb,cut down|confine;control;hold;inhibit|delay;hold out|hold down|occult
hold close,10,verb,cuddle
hold dear,9,verb,yearn
hold fast,9,verb,bind
hold firm,9,verb,hunker down
hold in,7,verb,bound;box in;embank;frame;rail|bate;catch;countercheck;damp;deny;mortify;restrict;restrict;suppress;thermostat;train|occult
hold off,8,verb,delay;hold out
hold on,7,verb,clasp;cling;latch on|ask for it;obstinate;plug;stick to|carry over;deny;harbor;retain;save;store;store;withhold
hold out,8,verb,hyperextend|defy;hold off;outbrave;stand;stand out;stand up|live out;perennate;stand up
hold over,9,verb,call;hold;probate;reprieve;suspend
hold tight,10,verb,cuddle
hold up,7,verb,block;brace;bracket;buoy;carry;chock;pole;prop up;scaffold;truss;underpin|buy time;catch;stall;stonewall|mug|live out;perennate;stand up|weather
holder,6,noun,candlestick;cigarette holder;keyboard;peg;zarf|bondholder;cardholder;cardholder;incumbent;jobholder;landowner;leaseholder;mortgagee;officeholder;policyholder;slaveholder;tenant;ticket holder
holdfast,8,noun,bellyband;buckle;button;carabiner;catch;clasp;cleat;clinch;clip;clothespin;corrugated fastener;cotter;cringle;dowel;fillet;hook and eye;knot;lashing;link;lock;locker;nail;nut and bolt;paper fastener;pin;screw;seal;sealing wax;slide fastener;snap;toggle;toggle bolt
holding,7,noun,storage;withholding|commonage;community property;estate;heirloom;hereditament;intellectual property;landholding;lease;personal property;public property;ratables;real property;salvage;shareholding;spiritualty;stockholding;tangible possession;things;trade-in;trust;wealth;worldly possessions
holding,7,verb,conserve;continue;distance;hold over;housekeep;preserve;pressurize|clinch;cling to;cradle;cradle;grasp;lock;trap|bear;carry;keep;keep;keep;keep;monopolize;stock;sustain;wield|enchain;fetter;ground;impound;pen up;pinion;pound;tie down|hold down|block;brace;bracket;buoy;carry;chock;pole;prop up;scaffold;truss;underpin|enclose;retain|house;seat;sleep|behave;piggyback;poise;sling;stoop|keep open|article;indenture;pledge;tie down|weather|bate;catch;countercheck;damp;deny;mortify;restrict;restrict;suppress;thermostat;train|admit;bastardize;beatify;call;cancel;canonize;certify;formalize;pronounce;superannuate|arrange;concede;conclude;reconcile;see eye to eye;settle;subscribe
holding company,15,noun,bank holding company
holding device,14,noun,chuck;clamp;holder;jaw;last;pullback;spike;vise
holdup,6,noun,break;dalliance;demurrage;filibuster;forbearance;postponement;procrastination;slowdown;tarriance
holdup man,10,noun,highjacker
hole,4,noun,aperture;bolt-hole;bullet hole;cranny;knothole;leak;ozone hole;perforation;rathole|air hole;armhole;bunghole;buttonhole;countersink;cup;ear hole;eye;eyelet;finger hole;finger hole;hawse;keyhole;loophole;lubber's hole;manhole;mortise;mouth hole;nail hole;peephole;perforation;plughole;posthole;puncture;sound hole;thumbhole;vent|dogleg|pore|burrow;gopher hole;kettle hole;pit;pothole;rabbit burrow;wormhole|dog's breakfast
holiday,7,noun,field day;half-term;honeymoon;paid vacation;vac|christmas eve;feast day;half-holiday;legal holiday;mesasamkranti;ramanavami;religious holiday;remembrance day
holiday,7,verb,honeymoon
holiday resort,14,noun,dude ranch;honeymoon resort;ski resort
holidaymaker,12,noun,sightseer
holiness,8,noun,sacredness
holler,6,noun,dell
holler,6,verb,halloo;hollo;howl;hurrah;shriek;squawk;whoop
hollering,9,verb,halloo;hollo;howl;hurrah;shriek;squawk;whoop
hollo,5,verb,halloo;hollo;howl;hurrah;shriek;squawk;whoop
hollow,6,noun,dell|burrow;gopher hole;kettle hole;pit;pothole;rabbit burrow;wormhole
hollow,6,verb,drive;trench|cave;cavern;core;dig;excavate;hole;rout;scallop;scoop out;suck in
hollow out,10,verb,cave;cavern;core;dig;excavate;hole;rout;scallop;scoop out;suck in
hollowness,10,noun,hypocrisy
holly,5,noun,american holly;bearberry;common winterberry holly;deciduous holly;geogia holly;inkberry;juneberry holly;largeleaf holly;low gallberry holly;mate;smooth winterberry holly;tall gallberry holly;yaupon holly
holly fern,10,noun,braun's holly fern;northern holly fern;western holly fern
hollyhock,9,noun,marsh mallow|rose mallow
holocephalan,12,noun,chimaera
holocephalian,13,noun,chimaera
holograph,9,noun,codex;palimpsest;scroll
holothurian,11,noun,trepang
holster,7,noun,shoulder holster
holy communion,14,noun,intercommunion
holy day,8,noun,christian holy day;dormition;fast day;jewish holy day
holy day of obligation,22,noun,all saints' day;ascension;assumption;christmas;immaculate conception;solemnity of mary
holy father,11,noun,antipope
holy man,8,noun,buddha;fakir
holy order,10,noun,acolyte;anagnost;deacon;doorkeeper;exorcist;lector;priest;subdeacon
holy person,11,noun,buddha;fakir
holy scripture,14,noun,family bible
holy writ,9,noun,family bible
hombre,6,noun,sod
home,4,noun,home away from home|cliff dwelling;condominium;fixer-upper;hearth;hermitage;homestead;house;lake dwelling;lodge;messuage;semi-detached house;vacation home;yurt|broken home;extended family;foster family;foster home;menage a trois;nuclear family
home appliance,14,noun,curling iron;iron;kitchen appliance;sewing machine;trouser press;vacuum;white goods
home base,9,noun,mukataa
home ground,11,noun,habitation
home guard,10,noun,yeomanry
home office,11,noun,mukataa
home reserve,12,noun,air national guard;army national guard
home run,8,noun,solo homer
homecoming,10,noun,repatriation
homeland,8,noun,old country
homeless,8,noun,bag lady
homeless person,15,noun,bag lady
homelessness,12,noun,vagrancy
homeotic gene,13,noun,homeobox
homeowner,9,noun,weekend warrior
homer,5,noun,solo homer|carrier pigeon
homespun,8,noun,russet
homicide,8,noun,honor killing;manslaughter;murder;shooting
homing pigeon,13,noun,carrier pigeon
hominid,7,noun,australopithecine;dryopithecine;homo;javanthropus;pithecanthropus;sinanthropus;sivapithecus
hominoid,8,noun,aegyptopithecus;algeripithecus minutus;proconsul
hominy,6,noun,lye hominy;pearl hominy
homo,4,noun,gay man;lesbian|homo erectus;homo habilis;homo sapiens;homo soloensis;neandertal man;rhodesian man;world
homo erectus,12,noun,java man;peking man
homo sapiens,12,noun,boskop man;cro-magnon;homo sapiens sapiens
homo soloensis,14,noun,solo man
homoeroticism,13,noun,inversion;lesbianism;pederasty
homogeneous polynomial,22,noun,quantic
homonym,7,noun,homograph;homophone
homophile,9,noun,gay man;lesbian
homopteran,10,noun,cicada;coccid insect;leafhopper;plant hopper;plant louse;spittle insect;whitefly
homopterous insect,18,noun,cicada;coccid insect;leafhopper;plant hopper;plant louse;spittle insect;whitefly
homosexual,10,noun,gay man;lesbian
homosexualism,13,noun,inversion;lesbianism;pederasty
homosexuality,13,noun,inversion;lesbianism;pederasty
honcho,6,noun,baas;ganger;straw boss
honduran monetary unit,22,noun,lempira
hone,4,verb,set|optimize;polish
honestness,10,noun,candor;good faith;incorruptibility;incorruptness;integrity;scrupulousness;truthfulness
honesty,7,noun,candor;good faith;incorruptibility;incorruptness;integrity;scrupulousness;truthfulness
honeybee,8,noun,africanized bee;black bee;carniolan bee;italian bee
honeycreeper,12,noun,mamo|banana quit
honeymooner,11,noun,bride;groom
honeysuckle,11,noun,american fly honeysuckle;bush honeysuckle;european fly honeysuckle;hairy honeysuckle;hall's honeysuckle;italian honeysuckle;japanese honeysuckle;morrow's honeysuckle;trumpet honeysuckle;twinberry;white honeysuckle;woodbine;yellow honeysuckle;yellow honeysuckle
honk,4,verb,tootle
honor,5,noun,academic degree;academy award;aliyah;cachet;citation;decoration;emmy;letter;mention;nobel prize;pennant;prix de rome;prix goncourt;trophy;trophy|esteem;fame;glory;repute
honor,5,verb,decorate;ennoble;toast|lionize;tolerate
honorableness,13,noun,nobility;respectability;venerability
honorary degree,15,noun,doctor of arts;doctor of fine arts;doctor of humane letters;doctor of humanities;doctor of laws;doctor of science
honorary society,16,noun,academy of motion picture arts and sciences;academy of television arts and sciences;french academy;national academy of sciences;royal academy;royal society
honored,7,verb,decorate;ennoble;toast|lionize;tolerate
honoree,7,noun,academician;laureate
honoring,8,noun,punctilio
honoring,8,verb,decorate;ennoble;toast|lionize;tolerate
honoris causa,13,noun,doctor of arts;doctor of fine arts;doctor of humane letters;doctor of humanities;doctor of laws;doctor of science
honour,6,noun,esteem;fame;glory;repute|academic degree;academy award;aliyah;cachet;citation;decoration;emmy;letter;mention;nobel prize;pennant;prix de rome;prix goncourt;trophy;trophy
honour,6,verb,decorate;ennoble;toast|lionize;tolerate
honourableness,14,noun,nobility;respectability;venerability
honours,7,noun,first|esteem;fame;glory;repute|academic degree;academy award;aliyah;cachet;citation;decoration;emmy;letter;mention;nobel prize;pennant;prix de rome;prix goncourt;trophy;trophy
honours,7,verb,decorate;ennoble;toast|lionize;tolerate
honours degree,14,noun,first
hooch,5,noun,pruno
hood,4,noun,bully|range hood|calash|calash;camail;cowl
hoodlum,7,noun,bully
hoodooism,9,noun,hoodoo
hoof,4,noun,cloven foot;horse's foot
hoofed mammal,13,noun,dinocerate;even-toed ungulate;odd-toed ungulate
hoofing,7,noun,tap dancing
hoo-ha,6,noun,convulsion;earthquake;incident;stir;storm;storm center;tumult
hoo-hah,7,noun,convulsion;earthquake;incident;stir;storm;storm center;tumult
hook,4,noun,uncus|anchor;pothook;tenterhook|boat hook;buttonhook;crotchet;cup hook;fishhook;gaff;gig;meat hook;skyhook|roundhouse
hook,4,verb,extort|seize
hook up with,12,verb,inmarry;intermarry;mismarry;remarry;wive;wive
hooked,6,verb,extort|seize
hooking,7,verb,extort|seize
hooks,5,noun,uncus|anchor;pothook;tenterhook|boat hook;buttonhook;crotchet;cup hook;fishhook;gaff;gig;meat hook;skyhook|roundhouse
hooks,5,verb,extort|seize
hooligan,8,noun,bullyboy;muscleman;skinhead;tough guy
hoop,4,noun,farthingale;pannier|carabiner;collar;curtain ring;key ring;napkin ring;nose ring;rim;rim;tire;towel ring
hoopoe,6,noun,euopean hoopoe
hoopoo,6,noun,euopean hoopoe
hoops,5,noun,professional basketball|farthingale;pannier|carabiner;collar;curtain ring;key ring;napkin ring;nose ring;rim;rim;tire;towel ring
hoot,4,verb,grunt-hoot;pant-hoot
hootch,6,noun,pruno
hooter,6,noun,barn owl;barred owl;great grey owl;hawk owl;hoot owl;horned owl;laughing owl;little owl;long-eared owl;owlet;scops owl;screech owl;screech owl;spotted owl;tawny owl
hop,3,noun,american hop;common hop;japanese hop
hop hornbeam,12,noun,eastern hop hornbeam;old world hop hornbeam
hop on,6,verb,remount
hope,4,noun,encouragement;hopefulness;optimism|rainbow|white hope
hopefulness,11,noun,anticipation;confidence
hopper,6,noun,long-horned grasshopper;short-horned grasshopper|chop;roller
hops,4,noun,american hop;common hop;japanese hop|american hop;common hop;japanese hop
horde,5,noun,golden horde
horehound,9,noun,common horehound
horizon,7,noun,geological horizon;soil horizon
horizontal surface,18,noun,floor;paved surface;platform
hormone,7,noun,adrenocorticotropic hormone;adrenosterone;catecholamine;epinephrine;gastrointestinal hormone;glucagon;glucocorticoid;gonadotropin;insulin;melanocyte-stimulating hormone;melatonin;neurohormone;oxytocin;parathyroid hormone;relaxin;releasing hormone;somatotropin;steroid hormone;thymosin;thyroid hormone;thyrotropin-releasing hormone;thyrotropin;vasopressin
horn,4,noun,antler|serpent|tortoiseshell;whalebone|air horn;foghorn;klaxon;shofar
hornbeam,8,noun,american hornbeam;european hornbeam
horned dinosaur,15,noun,protoceratops;psittacosaur;styracosaur;triceratops
horned lizard,13,noun,texas horned lizard
horned owl,10,noun,great horned owl
horned toad,11,noun,texas horned lizard
hornet,6,noun,bald-faced hornet;giant hornet;yellow jacket
hornswoggle,11,verb,short-change
horny frog,10,noun,texas horned lizard
horny structure,15,noun,claw;hoof;nail
horologe,8,noun,atomic clock;clock;sandglass;sundial;timer;watch
horridness,10,noun,frightfulness
horrified,9,verb,shock
horrify,7,verb,shock
horrifying,10,verb,shock
hors d'oeuvre,13,noun,pigs in blankets;rollmops;stuffed mushroom
horse,5,noun,bay;chestnut;eohippus;gee-gee;hack;hack;harness horse;liver chestnut;male horse;mare;mesohippus;pacer;palomino;pinto;polo pony;pony;pony;post horse;protohippus;racehorse;roan;saddle horse;sorrel;stablemate;stalking-horse;steeplechaser;stepper;wild horse;workhorse|pommel horse;vaulting horse|trestle
horse,5,verb,remount
horse barn,10,noun,livery stable
horse blanket,13,noun,apishamore
horse cart,10,noun,dray
horse chestnut,14,noun,dwarf buckeye;ohio buckeye;particolored buckeye;red buckeye;sweet buckeye
horse opera,11,noun,spaghetti western
horse race,10,noun,claiming race;harness race;selling race;stake race;steeplechase;thoroughbred race
horse racing,12,noun,thoroughbred racing
horse sense,11,noun,logic;nous;road sense
horseback rider,15,noun,buster;fox hunter;horsewoman;jockey;picador;postilion;roughrider
horseback riding,16,noun,equestrian sport;pony-trekking|bronco busting;endurance riding;pack riding;trail riding
horse-cart,10,noun,dray
horse-drawn vehicle,19,noun,carriage;chariot;limber;sulky
horsefish,9,noun,lookdown
horsehead,9,noun,lookdown
horse-head,10,noun,lookdown
horseman,8,noun,buster;fox hunter;horsewoman;jockey;picador;postilion;roughrider
horse-race,10,verb,jockey
horsetail,9,noun,common horsetail;marsh horsetail;scouring rush;swamp horsetail;variegated horsetail;wood horsetail
horsewhip,9,noun,buggy whip
horticulture,12,noun,flower gardening;landscaping;market gardening
horticulturist,14,noun,gardener
hose,4,noun,sock;stocking;tights|airline;fire hose;garden hose;radiator hose;water cannon
hosepipe,8,noun,airline;fire hose;garden hose;radiator hose;water cannon
hosiery,7,noun,sock;stocking;tights
hospital,8,noun,creche;lazaretto;maternity hospital;mental hospital;military hospital;sanatorium
hospital room,13,noun,emergency room;operating room;recovery room
hospital ward,13,noun,detox;maternity ward
host,4,noun,hostess|definitive host;intermediate host|compere;lord of misrule;question master;ringmaster;toastmaster|roman legion;sabaoth|hostess;padrone;victualer
host,4,verb,do the honors;emcee;feast;wine and dine
hostel,6,noun,caravansary;imaret;posthouse;roadhouse
hostelry,8,noun,caravansary;imaret;posthouse;roadhouse
hostess,7,verb,do the honors;emcee;feast;wine and dine
hostile expedition,18,noun,crusade
hostilities,11,noun,virulence|cold war;latent hostility;suspicion;war|aggression;animosity;antagonism;belligerence;class feeling;resentment|meat grinder;plundering;violence
hostility,9,noun,virulence|cold war;latent hostility;suspicion;war|aggression;animosity;antagonism;belligerence;class feeling;resentment|meat grinder;plundering;violence
hot cake,8,noun,blini;blintz;buckwheat cake;buttermilk pancake;crape;pfannkuchen;potato pancake;tortilla
hot cereal,10,noun,frumenty;grits;kasha;mush
hot dog,7,noun,chili dog|vienna sausage
hot pepper,10,noun,chili;tabasco
hot sauce,9,noun,tabasco
hot toddy,9,noun,tom and jerry
hot up,6,verb,fry;overheat
hot weather,11,noun,scorcher;sultriness
hotcake,7,noun,blini;blintz;buckwheat cake;buttermilk pancake;crape;pfannkuchen;potato pancake;tortilla
hotdog,6,noun,chili dog|vienna sausage
hotel,5,noun,fleabag;hostel;motor hotel;resort;resort hotel;ritz;ski lodge
hotel clerk,11,noun,room clerk
hotel desk clerk,16,noun,room clerk
hotel plan,10,noun,american plan;bermuda plan;european plan
hotel room,10,noun,adjoining room;connecting room
hotfoot,7,verb,barge;dart;tear
hothead,7,noun,tearaway
hotness,7,noun,calefaction;fieriness;torridity;warmth;white heat
hotshot,7,noun,track star
hot-water heater,16,noun,water back
hot-water tank,14,noun,water back
hound,5,noun,afghan hound;basset;beagle;bloodhound;bluetick;boarhound;coonhound;foxhound;greyhound;harrier;ibizan hound;norwegian elkhound;otterhound;plott hound;redbone;saluki;scottish deerhound;staghound;weimaraner;wolfhound|perisher
hound,5,verb,ferret
hound dog,9,noun,afghan hound;basset;beagle;bloodhound;bluetick;boarhound;coonhound;foxhound;greyhound;harrier;ibizan hound;norwegian elkhound;otterhound;plott hound;redbone;saluki;scottish deerhound;staghound;weimaraner;wolfhound
hour,4,noun,man hour;sidereal hour|bedtime;canonical hour;closing time;dawn;early-morning hour;happy hour;late-night hour;mealtime;midnight;none;noon;rush hour;small hours;sunset;twilight;zero hour
hours,5,noun,shift|man hour;sidereal hour|bedtime;canonical hour;closing time;dawn;early-morning hour;happy hour;late-night hour;mealtime;midnight;none;noon;rush hour;small hours;sunset;twilight;zero hour
house,5,noun,beach house;boarding house;bungalow;cabin;chalet;chapterhouse;country house;detached house;dollhouse;duplex house;farmhouse;gatehouse;guesthouse;hacienda;lodge;lodging house;maisonette;mansion;ranch house;residence;row house;safe house;saltbox;sod house;solar house;tract house;villa|accounting firm;auction house;consulting firm;corporation;dealer;law firm;publisher|dail eireann;house of burgesses;house of commons;house of lords;seanad eireann;united states house of representatives|medici;royalty|broken home;extended family;foster family;foster home;menage a trois;nuclear family|arena theater;cinema;dinner theater;home theater;little theater;music hall;opera|bathhouse;courthouse;field house;icehouse;meat house;oast house;pump house;smokehouse;stash house
house,5,verb,chamber;home;lodge;rehouse;take in
house agent,11,noun,realtor
house cat,9,noun,abyssinian;alley cat;angora;burmese cat;egyptian cat;kitty;maltese;manx;mouser;persian cat;siamese cat;tabby;tabby;tiger cat;tom;tortoiseshell
house of god,12,noun,bethel;chapel;church;conventicle;masjid;mosque;shrine;synagogue;temple
house of ill repute,19,noun,massage parlor
house of prayer,15,noun,bethel;chapel;church;conventicle;masjid;mosque;shrine;synagogue;temple
house of prostitution,21,noun,massage parlor
house of worship,16,noun,bethel;chapel;church;conventicle;masjid;mosque;shrine;synagogue;temple
house servant,13,noun,ayah;home help;housekeeper;maid;skivvy
house trailer,13,noun,camper trailer;mobile home
housebreaking,13,noun,home invasion
houseclean,10,verb,g.i.;spring-clean
housecleaning,13,verb,g.i.;spring-clean
housecoat,9,noun,brunch coat;camisole
household,9,noun,broken home;extended family;foster family;foster home;menage a trois;nuclear family
household appliance,19,noun,curling iron;iron;kitchen appliance;sewing machine;trouser press;vacuum;white goods
household linen,15,noun,ironing;laundry;linen
householder,11,noun,weekend warrior
housemaid,9,noun,chambermaid;handmaid;lady's maid;parlormaid
houseplant,10,noun,anthurium;bloodberry;chinese evergreen;episcia;gloxinia;kohleria;persian violet;plectranthus;velvet plant
housing,7,noun,apartment;billet;block;camp;condominium;dwelling;hospice;hostel;living quarters;mobile home;pied-a-terre;quartering;rattrap;shelter;tract housing|binnacle;cabinet;crankcase;distributor housing;journal box;lamp house;radome;shell|bard;horsecloth
housing,7,verb,chamber;home;lodge;rehouse;take in
housing development,19,noun,housing project
hovel,5,noun,igloo;mudhif
hover,5,verb,shillyshally|poise|overshadow
howl,4,noun,squeal
howl,4,verb,squall|thunder;vroom;yawp
howling,7,verb,squall|thunder;vroom;yawp
hoy,3,noun,dredger;houseboat;pontoon;scow;wherry
hoya,4,noun,honey plant;wax plant
hq,2,noun,command post;guardhouse
hr,2,noun,man hour;sidereal hour
hs,2,noun,tritium
hub,3,noun,civic center
hubby,5,noun,benedick;cuckold;family man;house husband;uxoricide
huckleberry,11,noun,black huckleberry;box huckleberry;dangleberry
huckster,8,verb,beat down
hue,3,verb,pigment
hug,3,verb,clinch;cuddle;interlock
hugging,7,noun,snogging
hugging,7,verb,clinch;cuddle;interlock
huitre,6,noun,bluepoint;oysters rockefeller
hull,4,noun,shell
hum,3,verb,teem
human,5,noun,homo erectus;homo habilis;homo sapiens;homo soloensis;neandertal man;rhodesian man;world
human action,12,noun,acquiring;action;activity;assumption;causing;communication;delivery;departure;derivation;discovery;disposal;distribution;egress;equalization;exhumation;forfeit;group action;hindrance;hire;implementation;inactivity;judgment;leaning;legitimation;mitzvah;motivation;nonaccomplishment;proclamation;production;propulsion;recovery;rejection;residency;running away;speech act;stay;stop;touch;waste;wear
