lemma,Count,part_of_speech,hypernyms
conglomerate,12,verb,increase
conglomeration,14,noun,sphere|sum|combining
conglutinate,12,verb,close|cling
conglutination,14,noun,healing|union
congo,5,noun,black tea
congo copal,11,noun,copal
congo eel,9,noun,salamander
congo franc,11,noun,franc
congo gum,9,noun,copal
congo peafowl,13,noun,pheasant
congo red,9,noun,acid-base indicator;azo dye
congo snake,11,noun,salamander
congolese,9,noun,african
congoo mallee,13,noun,mallee
congou,6,noun,black tea
congou tea,10,noun,black tea
congratulate,12,verb,praise|wish|feel|gloat
congratulation,14,noun,speech act|expression
congratulations,15,noun,approval|speech act|expression
congregant,10,noun,churchgoer
congregate,10,verb,meet
congregating,12,noun,assembly
congregating,12,verb,meet
congregation,12,noun,social group|collection|assembly
congregational christian church,31,noun,protestant denomination
congregational church,21,noun,protestant denomination
congregationalism,17,noun,protestantism
congregationalist,17,noun,protestant
congress,8,noun,legislature|meeting|legislature|sexual activity
congress boot,13,noun,shoe
congress gaiter,15,noun,shoe
congress of industrial organizations,36,noun,federation
congress of racial equality,27,noun,nongovernmental organization
congress shoe,13,noun,shoe
congressional district,22,noun,district
congressional medal of honor,28,noun,decoration
congressional record,20,noun,minutes
congressman,11,noun,legislator
congresswoman,13,noun,legislator
congridae,9,noun,fish family
congruence,10,noun,harmony
congruity,9,noun,harmony
congruousness,13,noun,harmony
conic,5,noun,plane figure
conic morel,11,noun,morel
conic projection,16,noun,map projection
conic section,13,noun,plane figure
conic verpa,11,noun,verpa
conic waxycap,13,noun,waxycap
conical buoy,12,noun,buoy
conical projection,18,noun,map projection
conidiophore,12,noun,hypha
conidiospore,12,noun,spore
conidium,8,noun,spore
conifer,7,noun,gymnospermous tree
coniferales,11,noun,plant order
coniferophyta,13,noun,class
coniferophytina,15,noun,class
coniferopsida,13,noun,class
coniferous tree,15,noun,gymnospermous tree
conilurus,9,noun,mammal genus
conima,6,noun,gum
coniogramme,11,noun,fern genus
coniogramme japonica,20,noun,fern
conium,6,noun,rosid dicot genus
conium maculatum,16,noun,poisonous plant
conjecture,10,noun,hypothesis|opinion|reasoning
conjecture,10,verb,expect
conjoin,7,verb,connect|unite
conjoined,9,verb,connect|unite
conjoined twin,14,noun,identical twin
conjugal family,15,noun,family
conjugal right,14,noun,legal right
conjugal visitation,19,noun,legal right
conjugal visitation right,25,noun,legal right
conjugate,9,noun,solution
conjugate,9,verb,blend|inflect|change
conjugate solution,18,noun,solution
conjugated,10,verb,blend|inflect|change
conjugated protein,18,noun,protein
conjugation,11,noun,union|inflection|set|class|sexual activity|combination
conjunction,11,noun,simultaneity|union|function word|grammatical relation|meeting|connection
conjunctiva,11,noun,mucous membrane
conjunctival layer of bulb,26,noun,conjunctiva
conjunctival layer of eyelids,29,noun,conjunctiva
conjunctival veins,18,noun,vein
conjunctive,11,noun,function word
conjunctivitis,14,noun,inflammation
conjunctivitis arida,20,noun,dryness
conjuncture,11,noun,juncture
conjuration,11,noun,spell|magic|performance
conjure,7,verb,make|plead|plot
conjure man,11,noun,witch doctor
conjure up,10,verb,make
conjurer,8,noun,performer|witch doctor
conjuring,9,noun,magic
conjuring,9,verb,make|plead|plot
conjuring trick,15,noun,performance
conjuror,8,noun,performer|witch doctor
conjury,7,noun,magic
conk,4,noun,nose
conk,4,verb,stop|hit|change state|zonk out
conk out,8,verb,change|tire
conker,6,noun,seed
conn,4,verb,steer
connaraceae,11,noun,rosid dicot family
connarus,8,noun,rosid dicot genus
connarus guianensis,19,noun,zebrawood
connect,7,verb,think|join|hit|join|be|relate|interact|insert|hit
connected,9,verb,think|join|hit|join|be|relate|interact|insert|hit
connectedness,13,noun,union|relation
connecter,9,noun,instrumentality
connecticuter,13,noun,american
connecting flight,17,noun,flight
connecting rod,14,noun,rod
connecting room,15,noun,hotel room
connection,10,noun,relation|union|instrumentality|acquaintance|memory|shape|supplier|transportation|change of integrity
connective,10,noun,function word|instrumentality
connective tissue,17,noun,animal tissue
connectivity,12,noun,property
connector,9,noun,instrumentality
connemara heath,15,noun,heath
connexion,9,noun,shape|relation|memory|instrumentality|transportation|change of integrity
conning tower,13,noun,pilothouse|bridge
conniption,10,noun,bad temper
connivance,10,noun,agreement|approval
connive,7,verb,assent|plot
connive at,10,verb,promote
conniving,9,verb,assent|plot
connochaetes,12,noun,mammal genus
connoisseur,11,noun,authority
connoisseurship,15,noun,taste
connotation,11,noun,meaning|meaning
connote,7,verb,express|imply
conn's syndrome,15,noun,syndrome
conocarpus,10,noun,dicot genus
conocarpus erectus,18,noun,tree
conoclinium,11,noun,asterid dicot genus
conoclinium coelestinum,23,noun,flower
conodont,8,noun,tooth|jawless vertebrate
conodonta,9,noun,animal order
conodontophorida,16,noun,animal order
conoid,6,noun,round shape
conopodium,10,noun,rosid dicot genus
conopodium denudatum,20,noun,herb
conospermum,11,noun,dicot genus
conoy,5,noun,algonquian
conquer,7,verb,control|assume|get the better of
conquering,10,noun,capture
conquering,10,verb,control|assume|get the better of
conqueror,9,noun,victor
conquest,8,noun,capture|success|success
conquistador,12,noun,explorer
conradina,9,noun,asterid dicot genus
conradina glabra,16,noun,shrub
consanguinity,13,noun,kinship
conscience,10,noun,ethical motive|morality|shame
conscience money,16,noun,payment
conscientious objector,22,noun,dissenter
conscientiousness,17,noun,conscience|carefulness
consciousness,13,noun,cognitive state|knowing
consciousness-altering drug,27,noun,drug
conscript,9,noun,serviceman
conscript,9,verb,enlist
conscription,12,noun,mobilization
consecrate,10,verb,invest|use|give|declare
consecrated,11,verb,invest|use|give|declare
consecration,12,noun,commitment|sanctification
consecutive operation,21,noun,operation
consensus,9,noun,agreement
consent,7,noun,permission
consent,7,verb,react
consent decree,14,noun,decree
consenting,10,verb,react
consequence,11,noun,phenomenon|result|significance
conservancy,11,noun,committee|conservation
conservation,12,noun,improvement|preservation|principle
conservation of charge,22,noun,conservation
conservation of electricity,27,noun,conservation
conservation of energy,22,noun,conservation;law of thermodynamics
conservation of mass,20,noun,conservation
conservation of matter,22,noun,conservation
conservation of momentum,24,noun,conservation
conservation of parity,22,noun,conservation
conservationist,15,noun,reformer
conservatism,12,noun,political orientation
conservative,12,noun,adult|member
conservative jew,16,noun,jew
conservative judaism,20,noun,judaism|judaism
conservative party,18,noun,party
conservativism,14,noun,political orientation
conservativist,14,noun,adult
conservatoire,13,noun,school
conservator,11,noun,custodian|fiduciary
conservator-ward relation,25,noun,fiduciary relation
conservatory,12,noun,school|school|greenhouse
conserve,8,noun,confiture
conserve,8,verb,keep|keep|save|preserve
conserved,9,verb,keep|keep|save|preserve
conserves,9,noun,confiture|confiture
conserves,9,verb,keep|keep|save|preserve
consider,8,verb,think|chew over|think about|hash out|evaluate|look|analyze|see
considerateness,15,noun,kindness
consideration,13,noun,thinking|information|discussion|kindness|fee|kindness
considered,10,verb,think|chew over|think about|hash out|evaluate|look|analyze|see
consign,7,verb,abandon|entrust|deliver
consignee,9,noun,recipient
consigner,9,noun,shipper
consignment,11,noun,merchandise|confinement|delivery
consignor,9,noun,shipper
consist,7,verb,exist|be|match|be
consistence,11,noun,uniformity|property
consistency,11,noun,property|uniformity|coherence|logicality
consistory,10,noun,court
consociate,10,verb,unite
consolation,11,noun,comfort|relief
console,7,noun,table|scientific instrument|bracket|housing
console table,13,noun,table
consolida,9,noun,magnoliid dicot genus
consolida ambigua,17,noun,flower
consolidate,11,verb,unify|strengthen|unite|solidify|solidify
consolidated,12,verb,unify|strengthen|unite|solidify|solidify
consolidation,13,noun,combining|combination|natural object
consomme,8,noun,soup
consonance,10,noun,rhyme|harmony
consonant,9,noun,phone|letter
consonant rhyme,15,noun,rhyme
consonant system,16,noun,phonemic system
consonantal system,18,noun,phonemic system
consonate,9,verb,resound
consort,7,noun,spouse|set
consort,7,verb,interact|match|accompany
consortium,10,noun,association
conspecific,11,noun,organism
conspectus,10,noun,summary
conspicuous consumption,23,noun,consumption
conspicuousness,15,noun,salience|visibility
conspiracy,10,noun,agreement|plot|set
conspiracy of silence,21,noun,conspiracy
conspirator,11,noun,criminal
conspire,8,verb,plot|interact
constable,9,noun,lawman|policeman
constabulary,12,noun,force;law enforcement agency
constance,9,noun,council
constancy,9,noun,changelessness|perception|fidelity
constant,8,noun,quantity|number
constant of gravitation,23,noun,constant
constant of proportionality,27,noun,constant;factor
constant quantity,17,noun,quantity
constantan,10,noun,copper-base alloy
constantinople,14,noun,council|ecumenical council|ecumenical council|ecumenical council
constant-width font,19,noun,font
constatation,12,noun,assumption
constellate,11,verb,cover|meet|form
constellation,13,noun,design|natural object
consternate,11,verb,frighten
consternation,13,noun,fear
constipate,10,verb,slow|indispose
constipated,11,verb,slow|indispose
constipation,12,noun,symptom|degradation
constituency,12,noun,body
constituent,11,noun,part|voter|relation|syntagma|part
constitute,10,verb,establish|constitute|initiate
constituted,11,verb,establish|constitute|initiate
constitution,12,noun,law|beginning|property
constitutional,14,noun,walk
constitutional convention,25,noun,convention
constitutional union party,26,noun,party
constitutionalise,17,verb,change
constitutionalism,17,noun,political system|political orientation
constitutionalist,17,noun,advocate
constitutionalize,17,verb,supply|walk|change
constrain,9,verb,restrict|restrict
constrained,11,verb,restrict|restrict
constraining,12,verb,restrict|restrict
constraint,10,noun,confinement|device|restriction
constrict,9,verb,tighten|tighten
constricted,11,verb,tighten|tighten
constricting,12,verb,tighten|tighten
constriction,12,noun,narrowing|compression|feeling|compression
constrictor,11,noun,snake
constrictor constrictor,23,noun,boa
constringe,10,verb,tighten
construal,9,noun,interpretation
construct,9,noun,idea
construct,9,verb,make|make|trace|create by mental act|create by mental act|speculate
construction,12,noun,creating from raw materials|constituent|thinking|artifact|mathematical process|interpretation|commercial enterprise
construction industry,21,noun,industry
construction paper,18,noun,paper
construction worker,19,noun,craftsman
constructive breach,19,noun,breach of contract
constructive eviction,21,noun,compulsion
constructive fraud,18,noun,fraud
constructive metabolism,23,noun,assimilation
constructive possession,23,noun,possession
constructive trust,18,noun,implied trust
constructiveness,16,noun,quality
constructivism,14,noun,artistic movement
constructivist,14,noun,artist
constructor,11,noun,contractor
construe,8,verb,understand
construe with,13,verb,attach to
consubstantiate,15,verb,unify|unite
consubstantiation,17,noun,theological doctrine
consuetude,10,noun,custom
consuetudinal,13,noun,manual
consuetudinary,14,noun,manual
consul,6,noun,diplomat
consulate,9,noun,diplomatic building
consulship,10,noun,position
consult,7,verb,ask|research|hash out|rede
consultancy,11,noun,practice
consultant,10,noun,authority
consultation,12,noun,conference|conference|action
consulting company,18,noun,firm
consulting firm,15,noun,firm
consulting service,18,noun,service
consume,7,verb,eat|spend|destroy|spend|absorb
consumer,8,noun,user
consumer credit,15,noun,credit line
consumer durables,17,noun,consumer goods
consumer finance company,24,noun,finance company
consumer goods,14,noun,commodity
consumer loan,13,noun,loan
consumer price index,20,noun,price index
consumer research,17,noun,marketing research
consumerism,11,noun,economic theory|campaign
consuming,9,verb,eat|spend|destroy|spend|absorb
consummate,10,verb,carry through|carry through
consummated,11,verb,carry through|carry through
consummation,12,noun,completion|completion
consumption,11,noun,bodily process|tuberculosis|demand|depletion
consumption weed,16,noun,shrub
consumptive,11,noun,sick person
contact,7,noun,interaction|touch|connection|happening|representative|channel|junction|communication|lens
contact,7,verb,communicate
contact action,14,noun,chemical process
contact arm,11,noun,contact
contact dermatitis,18,noun,dermatitis
contact lens,12,noun,lens
contact print,13,noun,print
contact sport,13,noun,sport
contadino,9,noun,farmer
contagion,9,noun,communicable disease|incident|communication
contagious abortion,19,noun,zoonosis
contagious disease,18,noun,communicable disease
contain,7,verb,include|include|restrain|be|be|defend
contained,9,verb,include|include|restrain|be|be|defend
container,9,noun,instrumentality
container ship,14,noun,cargo ship
container vessel,16,noun,cargo ship
containerful,12,noun,indefinite quantity
containerise,12,verb,pack
containerize,12,verb,pack
containership,13,noun,cargo ship
containment,11,noun,policy|system|restraint
contaminant,11,noun,material
contaminate,11,verb,dirty|change
contaminated,12,verb,dirty|change
contaminating,13,verb,dirty|change
contamination,13,noun,impurity|material|soiling
contemn,7,verb,hate
contemplate,11,verb,view|consider|think|think
contemplation,13,noun,stare|consideration
contemplative,13,noun,person
contemplativeness,17,noun,thoughtfulness
contemporaneity,15,noun,currentness|concurrence
contemporaneousness,19,noun,currentness|concurrence
contemporaries,14,noun,people|peer
contemporary,12,noun,peer
contemporary world,18,noun,times
contemporise,12,verb,happen|arrange
contemporize,12,verb,happen|arrange
contempt,8,noun,dislike|discourtesy|disrespect|disobedience
contempt of congress,20,noun,contempt
contempt of court,17,noun,contempt
contemptibility,15,noun,unworthiness
contemptuousness,16,noun,arrogance
contend,7,verb,claim|converse|oppose|act
contender,9,noun,contestant
content,7,noun,collection|communication|proportion|volume|cognition|acceptance|thing
content,7,verb,limit|satisfy
content word,12,noun,word
contented,9,verb,limit|satisfy
contentedness,13,noun,acceptance
contention,10,noun,assertion|dispute|group action
contentiousness,15,noun,disagreeableness
contentment,11,noun,happiness
contents,8,noun,list;table|collection|communication|proportion|volume|cognition|acceptance|thing
contents,8,verb,limit|satisfy
contest,7,noun,social event|competition
contest,7,verb,oppose
contestant,10,noun,person|person
contestation,12,noun,dispute
contested,9,verb,oppose
contestee,9,noun,winner
contester,9,noun,disputant
context,7,noun,discourse|environment
context of use,14,noun,discourse
contextual definition,21,noun,definition
contextualism,13,noun,doctrine
contiguity,10,noun,nearness
contiguousness,14,noun,nearness
continence,10,noun,self-discipline|restraint
continency,10,noun,self-discipline
continent,9,noun,landmass
continental army,16,noun,army
continental breakfast,21,noun,breakfast
continental congress,20,noun,congress
continental divide,18,noun,watershed
continental drift,17,noun,geological phenomenon
continental glacier,19,noun,glacier
continental plan,16,noun,hotel plan
continental quilt,17,noun,quilt
continental shelf,17,noun,ocean floor
continental slope,17,noun,ocean floor
contingence,11,noun,happening
contingency,11,noun,happening|dependence
contingency fee,15,noun,fee
contingency procedure,21,noun,routine
contingent,10,noun,gathering|military unit
contingent probability,22,noun,probability
continuance,11,noun,activity|time period|time
continuant,10,noun,obstruent
continuant consonant,20,noun,obstruent
continuation,12,noun,activity|addendum|gestalt law of organization|duration
continuative,12,noun,function word
continue,8,verb,act|talk|keep|travel|prolong|act|act|be|be|be
continued,9,verb,act|talk|keep|travel|prolong|act|act|be|be|be
continued fraction,18,noun,fraction
continuing,10,verb,act|talk|keep|travel|prolong|act|act|be|be|be
continuing education,20,noun,education
continuing trespass,19,noun,trespass
continuity,10,noun,coherence|script|lastingness
continuo,8,noun,bass
continuous creation theory,26,noun,scientific theory
continuous receiver watch,25,noun,watch
continuous tense,16,noun,tense
continuousness,14,noun,endlessness
continuum,9,noun,time
conto,5,noun,portuguese monetary unit
contopus,8,noun,bird genus
contopus sordidulus,19,noun,pewee
contopus virens,15,noun,new world flycatcher
contort,7,verb,twist
contorted,9,verb,twist
contortion,10,noun,change of shape|distorted shape
contortionist,13,noun,acrobat
contour,7,noun,isometric line|spatial property|feature
contour,7,verb,delineate
contour feather,15,noun,feather
contour language,16,noun,tone language
contour line,12,noun,isometric line
contour map,11,noun,map
contour sheet,13,noun,sheet
contra,6,noun,nicaraguan
contra danse,12,noun,folk dancing
contra danse,12,verb,dance
contraband,10,noun,merchandise
contrabandist,13,noun,criminal
contrabass,10,noun,bass;bowed stringed instrument
contrabassoon,13,noun,bassoon
contraception,13,noun,birth control
contraceptive,13,noun,device
contraceptive device,20,noun,device
contraceptive diaphragm,23,noun,contraceptive
contraceptive method,20,noun,birth control
contraceptive pill,18,noun,contraceptive
contract,8,noun,written agreement|bid|bridge
contract,8,verb,promise|hire|tighten|sicken|decrease|shrink|change|change|decrease
contract bridge,15,noun,bridge
contract in,11,verb,accept
contract killing,16,noun,murder
contract law,12,noun,jurisprudence
contract of adhesion,20,noun,contract
contract of hazard,18,noun,contract
contract offer,14,noun,offer
contract out,12,verb,sign|refuse
contract under seal,19,noun,contract
contracted,10,verb,promise|hire|tighten|sicken|decrease|shrink|change|change|decrease
contractile organ,17,noun,organ
contractility,13,noun,ability
contracting,11,noun,acquiring
contracting,11,verb,promise|hire|tighten|sicken|decrease|shrink|change|change|decrease
contraction,11,noun,shortening|shrinking|word|decrease
contractor,10,noun,builder|bridge player|party|organ
contracture,11,noun,contraction
contradance,11,noun,folk dancing
contradance,11,verb,dance
contradict,10,verb,deviate|disagree|refute|prove
contradiction,13,noun,opposition|falsehood|negation
contradiction in terms,22,noun,falsehood
contradictoriness,17,noun,opposition
contradictory,13,noun,logical relation
contradistinction,17,noun,differentiation
contradistinguish,17,verb,distinguish
contrafagotto,13,noun,bassoon
contrail,8,noun,cloud
contraindicate,14,verb,rede
contraindication,16,noun,reason
contralto,9,noun,singer|singing voice
contraption,11,noun,device
contrapuntist,13,noun,composer
contrarian,10,noun,investor
contrariety,11,noun,opposition
contrariness,12,noun,unruliness|ill nature
contrary,8,noun,opposition|opposition|logical relation
contras,7,noun,nicaraguan
contrast,8,noun,opposition|comparison|differentiation|visual perception|scope
contrast,8,verb,distinguish|differ
contrast material,17,noun,medium
contrast medium,15,noun,medium
contrasting,11,verb,distinguish|differ
contravene,10,verb,transgress|disagree
contravention,13,noun,resistance
contredanse,11,noun,folk dancing
contredanse,11,verb,dance
contretemps,11,noun,brush
contribute,10,verb,change|give|promote|pay
contributing,12,verb,change|give|promote|pay
contribution,12,noun,attempt|gift|giving|sum|publication
contributor,11,noun,donor|writer
contributory negligence,23,noun,negligence
contriteness,12,noun,sorrow
contrition,10,noun,sorrow
contrivance,11,noun,device|invention|scheme|arrangement|arrangement|invention
contrive,8,verb,create by mental act|create by mental act|send
contrived,9,verb,create by mental act|create by mental act|send
contriver,9,noun,person
control,7,noun,power|relation|bodily process|criterion|activity|condition|discipline|skillfulness|mechanism|spirit|economic policy
control,7,verb,restrain|manipulate|interact|test|see|verify|know
control account,15,noun,accounting
control board,13,noun,electrical device
control center,14,noun,center
control character,17,noun,ascii character
control circuit,15,noun,feedback circuit
control condition,17,noun,criterion
control experiment,18,noun,experiment
control freak,13,noun,compulsive
control function,16,noun,operation
control grid,12,noun,electrode
control key,11,noun,key
control operation,17,noun,operation
control panel,13,noun,electrical device
control rod,11,noun,rod
control room,12,noun,room
control stick,13,noun,lever
control stock,13,noun,stock
control surface,15,noun,device
control system,14,noun,system
control tower,13,noun,tower
controlled,10,verb,restrain|manipulate|interact|test|see|verify|know
controlled substance,20,noun,drug
controller,10,noun,businessperson|person|mechanism
controllership,14,noun,position
controlling,11,verb,restrain|manipulate|interact|test|see|verify|know
controlling interest,20,noun,interest
controversialist,16,noun,person
controversy,11,noun,dispute
controvert,10,verb,refute|disprove
contumacy,9,noun,disobedience|insubordination
contumely,9,noun,disrespect
contuse,7,verb,injure
contusion,9,noun,injury|hit
conundrum,9,noun,problem
conurbation,11,noun,urban area
conuropsis,10,noun,bird genus
conuropsis carolinensis,23,noun,parakeet
convalesce,10,verb,better
convalescence,13,noun,healing
convalescent,12,noun,sick person
convallaria,11,noun,liliid monocot genus
convallaria majalis,19,noun,liliaceous plant
convallariaceae,15,noun,liliid monocot family
convect,7,verb,circulate
convection,10,noun,temperature change|natural process
convector,9,noun,heater
convene,7,verb,meet|summon
convener,8,noun,caller
convenience,11,noun,comfort|suitability|facility;toilet|device
convenience food,16,noun,food
convenience store,17,noun,shop
conveniences,12,noun,support|comfort|suitability|facility;toilet|device
convening,9,noun,assembly
convening,9,verb,meet|summon
convent,7,noun,religious residence|community
conventicle,11,noun,meeting|place of worship
convention,10,noun,meeting|practice|treaty|orthodoxy|assembly
conventionalisation,19,noun,stylization
conventionalise,15,verb,change
conventionalised,16,verb,change
conventionalism,15,noun,orthodoxy
conventionality,15,noun,conformity|unoriginality|orthodoxy
conventionalization,19,noun,stylization
conventionalize,15,verb,change|represent
conventionalized,16,verb,change|represent
conventioneer,13,noun,attendant
converge,8,verb,border on|meet|unify
convergence,11,noun,happening|series|representation|joining
convergency,11,noun,series|joining
convergent strabismus,21,noun,strabismus
convergent thinker,18,noun,thinker
convergent thinking,19,noun,thinking
converging,10,noun,joining
converging,10,verb,border on|meet|unify
converging lens,15,noun,lens
conversance,11,noun,information
conversancy,11,noun,information
conversation,12,noun,speech
conversation piece,18,noun,center
conversation stopper,20,noun,remark
conversational partner,22,noun,conversationalist
conversationalist,17,noun,speaker
conversationist,15,noun,speaker
converse,8,noun,proposition
converse,8,verb,talk
conversion,10,noun,transformation|calculation|score|redemption|defense mechanism|change|rhetorical device|exchange|change
conversion disorder,19,noun,mental disorder
conversion factor,17,noun,factor
conversion hysteria,19,noun,mental disorder
conversion reaction,19,noun,mental disorder
converso,8,noun,convert
convert,7,noun,person
convert,7,verb,change|change|change|replace|change|score|score|score|persuade|change|change
converted,9,verb,change|change|change|replace|change|score|score|score|persuade|change|change
converter,9,noun,device
convertibility,14,noun,exchangeability
convertible,11,noun,car|security|sofa
convertible bond,16,noun,bond
convertible security,20,noun,security
convertor,9,noun,device
convex lens,11,noun,lens
convex polygon,14,noun,polygon
convex polyhedron,17,noun,polyhedron
convex shape,12,noun,solid
convexity,9,noun,shape|solid
convexness,10,noun,shape
convey,6,verb,impart|communicate|transfer|transfer|bring|transport|transmit
conveyance,10,noun,legal document|transmission|instrumentality|transfer|movement
conveyance of title,19,noun,transfer
conveyancer,11,noun,lawyer
conveyancing,12,noun,transfer
conveyer,8,noun,messenger|belt
conveyer belt,13,noun,belt
conveying,9,noun,transfer
conveying,9,verb,impart|communicate|transfer|transfer|bring|transport|transmit
conveyor,8,noun,messenger|belt
conveyor belt,13,noun,belt
convict,7,noun,prisoner|wrongdoer
convict,7,verb,pronounce
convict fish,12,noun,greenling
convictfish,11,noun,greenling
conviction,10,noun,belief|final judgment
convince,8,verb,persuade
convinced,9,verb,persuade
convincing,10,verb,persuade
convincingness,14,noun,persuasiveness
conviviality,12,noun,sociability|celebration
convocation,11,noun,gathering|assembly
convoke,7,verb,summon
convolute,9,verb,flex|denote
convoluted,10,verb,flex|denote
convolution,11,noun,round shape|structure|change of shape
convolution of broca,20,noun,center
convolve,8,verb,flex
convolvulaceae,14,noun,dicot family
convolvulus,11,noun,vine
convolvulus arvensis,20,noun,bindweed
convolvulus scammonia,21,noun,convolvulus
convolvulus sepium,18,noun,bindweed
convoy,6,noun,procession|collection|escort
convoy,6,verb,escort
convulse,8,verb,amuse|laugh|shake|shake|compress|compress
convulsion,10,noun,attack|seizure|disturbance|trouble
cony,4,noun,placental|lagomorph|leporid
conyza,6,noun,asterid dicot genus
conyza canadensis,17,noun,weed
coo,3,noun,cry
coo,3,verb,murmur|utter
cooccur,7,verb,coexist
co-occur,8,verb,coexist
cooccur with,12,verb,attach to
co-occur with,13,verb,attach to
co-occurrence,13,noun,happening|simultaneity
cook,4,noun,skilled worker
cook,4,verb,create from raw material|create from raw material|change integrity|cheat|change
cook out,8,verb,grill
cook up,7,verb,cook|think up
cookbook,8,noun,reference book
cooked,6,verb,create from raw material|create from raw material|change integrity|cheat|change
cooker,6,noun,cooking utensil
cookery,7,noun,change of state
cookery book,12,noun,reference book
cookfire,8,noun,fire
cookhouse,9,noun,kitchen|shelter
cookie,6,noun,cake|cook|text
cookie cutter,13,noun,kitchen utensil
cookie jar,10,noun,jar
cookie jar reserve,18,noun,hidden reserve
cookie sheet,12,noun,cooking utensil
cooking,7,noun,change of state
cooking,7,verb,create from raw material|create from raw material|change integrity|cheat|change
cooking apple,13,noun,apple
cooking chocolate,17,noun,chocolate
cooking oil,11,noun,vegetable oil
cooking pan,11,noun,cooking utensil
cooking stove,13,noun,kitchen appliance
cooking utensil,15,noun,kitchen utensil
cookout,7,noun,picnic
cookstove,9,noun,stove
cookware,8,noun,kitchen utensil
cooky,5,noun,cook|cake
cooky jar,9,noun,jar
cool,4,noun,coldness|composure
cool,4,verb,change|change state|change
cool down,9,verb,change|change|change state
cool it,7,verb,change state
cool jazz,9,noun,jazz
cool off,8,verb,change state|change|feel
cool one's heels,16,verb,wait
coolant,7,noun,agent;fluid
coolant system,14,noun,cooling system
cooler,6,noun,refrigerator|beverage|cell
cooley's anaemia,16,noun,thalassemia
cooley's anemia,15,noun,thalassemia
coolie,6,noun,asian
cooling,7,noun,temperature change|mechanism
cooling,7,verb,change|change state|change
cooling system,14,noun,equipment|mechanism
cooling tower,13,noun,cooling system
coolness,8,noun,calmness|coldness|fearlessness|unemotionality
coolwart,8,noun,herb
cooly,5,noun,asian
coon,4,noun,rustic|black|raccoon
coon bear,9,noun,procyonid
coon cat,8,noun,procyonid|procyonid
coondog,7,noun,coonhound
coonhound,9,noun,hound
coonskin,8,noun,cap
coonskin cap,12,noun,cap
coontie,7,noun,zamia
coop,4,noun,farm building|enclosure
co-op,5,noun,commercial enterprise
coop in,7,verb,confine
coop up,7,verb,confine
cooper,6,noun,craftsman
cooper,6,verb,make
cooperate,9,verb,work
cooperation,11,noun,group action|practice
cooperative,11,noun,commercial enterprise|association
cooperativeness,15,noun,tractability
cooperator,10,noun,associate
cooper's hawk,13,noun,hawk
co-opt,6,verb,elect|neutralize|appoint|take
co-optation,11,noun,election|appointment
co-option,9,noun,election|appointment
coordinate,10,noun,number
coordinate,10,verb,arrange|manage|meet|adjust
co-ordinate,11,noun,number
co-ordinate,11,verb,arrange|manage|meet|adjust
coordinate axis,15,noun,axis
coordinate bond,15,noun,covalent bond
coordinate clause,17,noun,clause
coordinate geometry,19,noun,geometry
coordinate system,17,noun,arrangement
coordinated,11,verb,arrange|manage|meet|adjust
co-ordinated,12,verb,arrange|manage|meet|adjust
coordinated universal time,26,noun,greenwich mean time
coordinating,12,verb,arrange|manage|meet|adjust
coordinating conjunction,24,noun,conjunction|conjunction
coordination,12,noun,skillfulness|timing|grammatical relation|classification
coordination compound,21,noun,compound
coordinator,11,noun,organizer
coot,4,noun,rail
cooter,6,noun,turtle
cootie,6,noun,louse
cop,3,noun,policeman
cop,3,verb,steal|seize
cop out,7,verb,choose
copaiba,7,noun,oleoresin
copaiba balsam,14,noun,oleoresin
copal,5,noun,natural resin
copaline,8,noun,copal
copalite,8,noun,copal
copartner,9,noun,partner
copartnership,13,noun,partnership
cope,4,noun,brick|cloak
cope,4,verb,act
cope with,9,verb,cope
copeck,6,noun,russian monetary unit
copehan,7,noun,penutian
copepod,7,noun,crustacean
copepod crustacean,18,noun,crustacean
copepoda,8,noun,class
copernican system,17,noun,model
copernicia,10,noun,monocot genus
copernicia alba,15,noun,fan palm
copernicia australis,20,noun,fan palm
copernicia cerifera,19,noun,fan palm
copernicia prunifera,20,noun,fan palm
copestone,9,noun,touch|stone
copier,6,noun,apparatus
copilot,7,noun,pilot
co-pilot,8,noun,pilot
coping,6,noun,brick
coping,6,verb,act|steal|seize
coping saw,10,noun,handsaw
coping stone,12,noun,stone
copiousness,11,noun,quantity
copolymer,9,noun,polymer
copolymerise,12,verb,polymerize
copolymerize,12,verb,polymerize
copout,6,noun,failure
copper,6,noun,conductor;metallic element|penny|policeman|reddish brown|lycaenid
copper,6,verb,coat
copper beech,12,noun,beech
copper color,12,noun,reddish brown
copper glance,13,noun,mineral
copper mine,11,noun,mine
copper nose,11,noun,rhinopathy
copper oxide,12,noun,oxide
copper pyrites,14,noun,mineral
copper rockfish,15,noun,rockfish
copper sulfate,14,noun,sulfate
copper sulphate,15,noun,sulfate
copper-base alloy,17,noun,alloy
copper-bottom,13,verb,supply
copper-bottomed,15,verb,supply
copperhead,10,noun,pit viper|elapid
copperplate,11,noun,longhand|print|engraving
copperplate engraving,21,noun,engraving
copper's nark,13,noun,informer
coppersmith,11,noun,craftsman
copperware,10,noun,utensil
coppice,7,noun,vegetation
copra,5,noun,coconut
copra oil,9,noun,vegetable oil
coprinaceae,11,noun,fungus family
coprinus,8,noun,fungus genus
coprinus atramentarius,22,noun,agaric
coprinus comatus,16,noun,agaric
coprolalia,10,noun,pathology
